dataset,country_code,country,year,variable,value,source
exports_by_hs_section,VNM,Vietnam,2016,Animal and Vegetable Bi-Products,160050012.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Arts and Antiques,5536083.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Chemical Products,2977920478.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Foodstuffs,4499477875.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Footwear and Headwear,17924487169.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Instruments,3152998591.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Machines,89372270323.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Metals,6776345298.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Mineral Products,4962321950.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Miscellaneous,8924554153.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Paper Goods,728662982.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Plastics and Rubbers,5840473725.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Precious Metals,846841348.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Stone And Glass,1876416980.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Textiles,31847095622.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
