country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,gdp_pc,trade_open,gfcf,lpi,edu_enroll,region,capital,longitude,latitude,income,lending
Viet Nam,VN,VNM,2000,,2026-04-08,NA,4.16392407955693,404.029784055118,111.417094419512,27.646803095692,NA,9.24740982055664,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2001,,2026-04-08,NA,3.97733545270572,419.205677580901,111.955937998525,29.1507287630248,NA,9.30103015899658,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2002,,2026-04-08,NA,3.99268705133996,445.132861817313,116.696868652499,31.1384532684289,NA,9.55722999572754,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2003,,2026-04-08,NA,3.66601229989583,497.117089249256,124.327954439125,33.3540361533182,NA,9.91792964935303,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2004,,2026-04-08,NA,3.54408107288199,565.452284586212,133.016497868747,33.2539734687344,NA,NA,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2005,,2026-04-08,18.8232835631471,3.39040363930871,710.746759994861,130.714846045026,31.2735981689298,NA,15.8760204315185,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2006,,2026-04-08,19.3807256267869,3.61600090432522,807.756645117054,138.313621869598,31.363976770146,NA,16.8052501678467,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2007,,2026-04-08,19.3804144953877,8.65471771434805,925.640338348717,154.605383996554,35.1069043263026,2.89,18.9504508972168,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2008,,2026-04-08,18.5796576460957,9.6630390545572,1163.83195772873,154.317479627758,31.8052012101133,NA,20.0552005767822,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2009,,2026-04-08,18.3010354592131,7.16881988884276,1226.16976051536,134.706317721758,33.857133934242,NA,21.5007190704346,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2010,,2026-04-08,17.1305705708367,5.4347392933443,1683.16182443979,113.977687539714,35.1596865348136,2.96,23.9250975429329,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
